Name,2010,2015,2018,2020,2010-2014,2015-2017,2018-2020,2021 - Present,2010-2014 / 2015-2017,2015-2017 / 2018-2020,2018-2020 / 2021 - Present,Decrease,No Change,Increase,Decrease,,,No Change,,,Increase,,
Albany State University,0,0,0,0,0.686,0.271,0.170,0.855,-0.415,-0.101,0.685,,0.056,,,,,-0.415,-0.101,0.685,,,
Alvernia University,0,0,0,1,0.462,0.761,0.480,0.072,0.298,-0.281,-0.407,,0.009,-0.407,,,,0.298,-0.281,,,,-0.407
Auburn University,0,0,1,0,0.445,0.558,0.519,0.543,0.114,-0.039,0.025,,0.069,-0.039,,,,0.114,,0.025,,-0.039,
Boston University,0,0,0,0,0.488,0.485,0.570,0.643,-0.003,0.086,0.073,,0.052,,,,,-0.003,0.086,0.073,,,
Caldwell University,0,1,0,0,0.413,0.549,0.462,0.880,0.136,-0.087,0.418,,0.166,0.136,,,,,-0.087,0.418,0.136,,
Calvin University,0,0,1,0,0.726,0.624,0.462,0.052,-0.102,-0.162,-0.410,,-0.256,-0.162,,,,-0.102,,-0.410,,-0.162,
Cameron University,0,0,0,-1,0.330,0.398,0.278,0.857,0.068,-0.120,0.579,0.579,-0.026,,,,0.579,0.068,-0.120,,,,
Case Western Reserve University,0,0,0,0,0.508,0.567,0.638,0.284,0.059,0.071,-0.354,,-0.075,,,,,0.059,0.071,-0.354,,,
College of Charleston,0,1,0,-1,0.670,0.645,0.562,0.459,-0.026,-0.083,-0.102,-0.102,-0.083,-0.026,,,-0.102,,-0.083,,-0.026,,
Colorado School of Mines,0,0,0,1,0.238,0.561,0.589,0.448,0.323,0.028,-0.141,,0.176,-0.141,,,,0.323,0.028,,,,-0.141
CUNY York College,0,0,0,1,0.130,0.198,0.151,-0.093,0.068,-0.047,-0.244,,0.011,-0.244,,,,0.068,-0.047,,,,-0.244
Eastern Washington University,0,0,0,0,0.490,0.565,0.554,0.444,0.075,-0.011,-0.110,,-0.015,,,,,0.075,-0.011,-0.110,,,
Emerson College,0,0,0,0,0.659,0.495,0.480,0.171,-0.164,-0.014,-0.310,,-0.163,,,,,-0.164,-0.014,-0.310,,,
Fairmont State University,0,1,0,0,0.361,0.611,0.518,0.262,0.250,-0.094,-0.256,,-0.175,0.250,,,,,-0.094,-0.256,0.250,,
Fayetteville State University,0,1,0,0,-0.018,0.389,0.093,0.307,0.407,-0.296,0.215,,-0.041,0.407,,,,,-0.296,0.215,0.407,,
Fort Valley State University,0,0,1,-1,0.463,0.338,0.386,0.238,-0.125,0.048,-0.149,-0.149,-0.125,0.048,,,-0.149,-0.125,,,,0.048,
Hampton University,0,0,1,-1,0.458,0.412,0.342,0.017,-0.046,-0.071,-0.325,-0.325,-0.046,-0.071,,,-0.325,-0.046,,,,-0.071,
Illinois Institute of Technology,0,0,0,0,0.458,0.367,0.380,0.134,-0.091,0.013,-0.246,,-0.108,,,,,-0.091,0.013,-0.246,,,
Ithaca College,0,1,0,0,0.615,0.552,0.555,0.430,-0.063,0.003,-0.124,,-0.061,-0.063,,,,,0.003,-0.124,-0.063,,
James Madison University,0,0,0,1,0.678,0.649,0.599,0.546,-0.029,-0.050,-0.054,,-0.039,-0.054,,,,-0.029,-0.050,,,,-0.054
Kennesaw State University,0,1,1,0,0.545,0.523,0.477,0.348,-0.022,-0.047,-0.129,,-0.129,-0.034,,,,,,-0.129,-0.022,-0.047,
Keuka College,0,1,0,0,0.245,0.202,-0.057,0.116,-0.044,-0.259,0.173,,-0.043,-0.044,,,,,-0.259,0.173,-0.044,,
Lamar University,0,1,0,0,,0.427,0.521,0.467,,0.094,-0.054,,0.020,0.000,,,,,0.094,-0.054,0.000,,
Lasell University,0,1,0,1,0.259,0.481,0.628,0.587,0.223,0.147,-0.041,,0.147,0.091,,,,,0.147,,0.223,,-0.041
Lesley University,0,1,0,0,0.617,0.617,0.442,0.921,-0.000,-0.174,0.479,,0.152,-0.000,,,,,-0.174,0.479,-0.000,,
