Name,2010,2015,2018,2020,2010-2014,2015-2017,2018-2020,2021 - Present,2010-2014 / 2015-2017,2015-2017 / 2018-2020,2018-2020 / 2021 - Present,Decrease,No Change,Increase,Decrease,,,No Change,,,Increase,,
Albany State University,0,0,0,0,0.66974999999999996,0.72263636363636297,0.67707142857142799,0.82699999999999996,0.053,-0.046,0.150,,0.052,,,,,0.053,-0.046,0.150,,,
Alvernia University,0,0,0,1,0.64639285714285699,0.66830769230769205,0.69525000000000003,0.64583333333333304,0.022,0.027,-0.049,,0.024,-0.049,,,,0.022,0.027,,,,-0.049
Auburn University,0,0,1,0,0.54925199999999896,0.620215311004784,0.61616279069767399,0.65175609756097497,0.071,-0.004,0.036,,0.053,-0.004,,,,0.071,,0.036,,-0.004,
Boston University,0,0,0,0,0.60581196581196495,0.65607142857142797,0.69517045454545401,0.58984210526315795,0.050,0.039,-0.105,,-0.005,,,,,0.050,0.039,-0.105,,,
Caldwell University,0,1,0,0,0.68303999999999998,0.67349999999999999,0.67237499999999994,0.67399999999999904,-0.010,-0.001,0.002,,0.000,-0.010,,,,,-0.001,0.002,-0.010,,
Calvin University,0,0,1,0,0.63757894736842102,0.62538461538461498,0.723178571428571,0.68499999999999905,-0.012,0.098,-0.038,,-0.025,0.098,,,,-0.012,,-0.038,,0.098,
Cameron University,0,0,0,-1,0.75564102564102498,0.714035714285714,0.70687500000000003,0.76900000000000002,-0.042,-0.007,0.062,0.062,-0.024,,,,0.062,-0.042,-0.007,,,,
Case Western Reserve University,0,0,0,0,0.67416666666666603,0.66229069767441795,0.65533333333333299,0.711208333333333,-0.012,-0.007,0.056,,0.012,,,,,-0.012,-0.007,0.056,,,
College of Charleston,0,1,0,-1,0.62880714285714201,0.65440624999999997,0.64187272727272704,0.67549999999999999,0.026,-0.013,0.034,0.034,-0.013,0.026,,,0.034,,-0.013,,0.026,,
Colorado School of Mines,0,0,0,1,0.706124999999999,0.65867346938775495,0.65812499999999896,0.671619047619047,-0.047,-0.001,0.013,,-0.024,0.013,,,,-0.047,-0.001,,,,0.013
CUNY York College,0,0,0,1,0.65383333333333304,0.73555434782608697,0.71665000000000001,0.77440740740740699,0.082,-0.019,0.058,,0.031,0.058,,,,0.082,-0.019,,,,0.058
Eastern Washington University,0,0,0,0,0.67537499999999995,0.68647777777777796,0.62559999999999905,0.74707142857142805,0.011,-0.061,0.121,,0.024,,,,,0.011,-0.061,0.121,,,
Emerson College,0,0,0,0,0.66184210526315801,0.67897619047618996,0.656641025641025,0.74107692307692297,0.017,-0.022,0.084,,0.026,,,,,0.017,-0.022,0.084,,,
Fairmont State University,0,1,0,0,0.72310714285714195,0.663333333333333,0.636692307692307,0.74839999999999995,-0.060,-0.027,0.112,,0.043,-0.060,,,,,-0.027,0.112,-0.060,,
Fayetteville State University,0,1,0,0,0.75289473684210495,0.69273333333333298,0.69242105263157805,0.76733333333333298,-0.060,-0.000,0.075,,0.037,-0.060,,,,,-0.000,0.075,-0.060,,
Fort Valley State University,0,0,1,-1,0.77324999999999899,0.71728571428571397,0.68579999999999997,0.82999999999999996,-0.056,-0.031,0.144,0.144,-0.056,-0.031,,,0.144,-0.056,,,,-0.031,
Hampton University,0,0,1,-1,0.727727272727272,0.77441935483870905,0.71580952380952301,0.80437499999999995,0.047,-0.059,0.089,0.089,0.047,-0.059,,,0.089,0.047,,,,-0.059,
Illinois Institute of Technology,0,0,0,0,0.73823684210526297,0.66597499999999998,0.68761538461538396,0.746142857142857,-0.072,0.022,0.059,,0.003,,,,,-0.072,0.022,0.059,,,
Ithaca College,0,1,0,0,0.64456862745097998,0.66170588235294103,0.67379999999999995,0.66571428571428504,0.017,0.012,-0.008,,0.002,0.017,,,,,0.012,-0.008,0.017,,
James Madison University,0,0,0,1,0.56666784452296803,0.62884615384615306,0.61384374999999902,0.59396551724137903,0.062,-0.015,-0.020,,0.024,-0.020,,,,0.062,-0.015,,,,-0.020
Kennesaw State University,0,1,1,0,0.65069372693726901,0.66324923076923004,0.68769852941176401,0.71311627906976705,0.013,0.024,0.025,,0.025,0.019,,,,,,0.025,0.013,0.024,
Keuka College,0,1,0,0,0.76896296296296196,0.74035294117646999,0.707454545454545,0.74580000000000002,-0.029,-0.033,0.038,,0.003,-0.029,,,,,-0.033,0.038,-0.029,,
Lamar University,0,1,0,0,,0.69722222222222197,0.72523809523809502,0.73042857142857098,,0.028,0.005,,0.017,0.000,,,,,0.028,0.005,0.000,,
Lasell University,0,1,0,1,0.614375,0.62706666666666599,0.73735714285714204,0.76549999999999996,0.013,0.110,0.028,,0.110,0.020,,,,,0.110,,0.013,,0.028
Lesley University,0,1,0,0,0.63314999999999999,0.71440909090909099,0.72763636363636297,0.71999999999999997,0.081,0.013,-0.008,,0.003,0.081,,,,,0.013,-0.008,0.081,,
Long Island University,0,-1,1,1,0.71727272727272695,0.74450980392156796,0.75153124999999998,0.74874999999999903,0.027,0.007,-0.003,0.027,,0.002,0.027,,,,,,,0.007,-0.003
Marshall University,0,0,1,0,0.65574545454545397,0.65654545454545399,0.66865454545454495,0.750605263157894,0.001,0.012,0.082,,0.041,0.012,,,,0.001,,0.082,,0.012,
Marymount University,0,0,0,1,0.681755555555555,0.65868749999999998,0.75241379310344803,0.76249999999999996,-0.023,0.094,0.010,,0.035,0.010,,,,-0.023,0.094,,,,0.010
Metropolitan State University of Denver,0,1,1,0,0.71492934782608697,0.69677099236641105,0.67773118279569899,0.666875,-0.018,-0.019,-0.011,,-0.011,-0.019,,,,,,-0.011,-0.018,-0.019,
