Name,2010,2015,2018,2020,2010-2014,2015-2017,2018-2020,2021 - Present,2010-2014 / 2015-2017,2015-2017 / 2018-2020,2018-2020 / 2021 - Present,Decrease,No Change,Increase,Decrease,,,No Change,,,Increase,,
Albany State University,0,0,0,0,0.32041666666666602,0.21745454545454501,0.22678571428571401,0.17299999999999999,-0.103,0.009,-0.054,,-0.049,,,,,-0.103,0.009,-0.054,,,
Alvernia University,0,0,0,1,0.27885714285714203,0.30253846153846098,0.22725000000000001,0.14149999999999999,0.024,-0.075,-0.086,,-0.026,-0.086,,,,0.024,-0.075,,,,-0.086
Auburn University,0,0,1,0,0.33056399999999903,0.32232535885167402,0.29622480620155001,0.31587804878048698,-0.008,-0.026,0.020,,0.006,-0.026,,,,-0.008,,0.020,,-0.026,
Boston University,0,0,0,0,0.31754700854700801,0.27608730158730099,0.24440909090908999,0.39515789473684199,-0.041,-0.032,0.151,,0.026,,,,,-0.041,-0.032,0.151,,,
Caldwell University,0,1,0,0,0.24643999999999999,0.26357692307692299,0.27679166666666599,0.32599999999999901,0.017,0.013,0.049,,0.031,0.017,,,,,0.013,0.049,0.017,,
Calvin University,0,0,1,0,0.33212280701754299,0.33300000000000002,0.19760714285714201,0.21440000000000001,0.001,-0.135,0.017,,0.009,-0.135,,,,0.001,,0.017,,-0.135,
Cameron University,0,0,0,-1,0.17299999999999999,0.22432142857142801,0.24531249999999999,0.184,0.051,0.021,-0.061,-0.061,0.036,,,,-0.061,0.051,0.021,,,,
Case Western Reserve University,0,0,0,0,0.24288333333333301,0.27982558139534802,0.27818749999999998,0.20874999999999999,0.037,-0.002,-0.069,,-0.011,,,,,0.037,-0.002,-0.069,,,
College of Charleston,0,1,0,-1,0.34749999999999998,0.31810937499999897,0.31327272727272698,0.25240909090908997,-0.029,-0.005,-0.061,-0.061,-0.005,-0.029,,,-0.061,,-0.005,,-0.029,,
Colorado School of Mines,0,0,0,1,0.20559374999999999,0.27977551020408098,0.26467857142857099,0.25747619047619003,0.074,-0.015,-0.007,,0.030,-0.007,,,,0.074,-0.015,,,,-0.007
CUNY York College,0,0,0,1,0.23931818181818099,0.16761956521739099,0.17096999999999901,0.10814814814814799,-0.072,0.003,-0.063,,-0.034,-0.063,,,,-0.072,0.003,,,,-0.063
Eastern Washington University,0,0,0,0,0.27437499999999998,0.25935555555555501,0.31169090909090902,0.182357142857142,-0.015,0.052,-0.129,,-0.031,,,,,-0.015,0.052,-0.129,,,
Emerson College,0,0,0,0,0.31026315789473602,0.247999999999999,0.28351282051282001,0.18292307692307599,-0.062,0.036,-0.101,,-0.042,,,,,-0.062,0.036,-0.101,,,
Fairmont State University,0,1,0,0,0.22503571428571401,0.29252380952380902,0.28530769230769198,0.193,0.067,-0.007,-0.092,,-0.050,0.067,,,,,-0.007,-0.092,0.067,,
Fayetteville State University,0,1,0,0,0.137421052631578,0.25716666666666599,0.220052631578947,0.133333333333333,0.120,-0.037,-0.087,,-0.062,0.120,,,,,-0.037,-0.087,0.120,,
Fort Valley State University,0,0,1,-1,0.17249999999999999,0.189714285714285,0.31419999999999998,0.17000000000000001,0.017,0.124,-0.144,-0.144,0.017,0.124,,,-0.144,0.017,,,,0.124,
Hampton University,0,0,1,-1,0.24545454545454501,0.19999999999999901,0.235238095238095,0.085374999999999895,-0.045,0.035,-0.150,-0.150,-0.045,0.035,,,-0.150,-0.045,,,,0.035,
Illinois Institute of Technology,0,0,0,0,0.220447368421052,0.248,0.25396153846153802,0.127,0.028,0.006,-0.127,,-0.031,,,,,0.028,0.006,-0.127,,,
Ithaca College,0,1,0,0,0.31021568627450902,0.28731372549019601,0.24934285714285701,0.27150000000000002,-0.023,-0.038,0.022,,-0.008,-0.023,,,,,-0.038,0.022,-0.023,,
James Madison University,0,0,0,1,0.40754063604240198,0.33401748251748198,0.3300546875,0.34882758620689602,-0.074,-0.004,0.019,,-0.039,0.019,,,,-0.074,-0.004,,,,0.019
Kennesaw State University,0,1,1,0,0.31421402214022098,0.27727076923076899,0.261448529411764,0.209302325581395,-0.037,-0.016,-0.052,,-0.052,-0.026,,,,,,-0.052,-0.037,-0.016,
Keuka College,0,1,0,0,0.13362962962962899,0.159588235294117,0.123999999999999,0.15859999999999999,0.026,-0.036,0.035,,-0.000,0.026,,,,,-0.036,0.035,0.026,,
Lamar University,0,1,0,0,,0.25144444444444403,0.23954761904761901,0.19442857142857101,,-0.012,-0.045,,-0.029,0.000,,,,,-0.012,-0.045,0.000,,
Lasell University,0,1,0,1,0.31445833333333301,0.28320000000000001,0.23799999999999999,0.20349999999999999,-0.031,-0.045,-0.035,,-0.045,-0.033,,,,,-0.045,,-0.031,,-0.035
Lesley University,0,1,0,0,0.31935000000000002,0.25490909090908997,0.21772727272727199,0.23833333333333301,-0.064,-0.037,0.021,,-0.008,-0.064,,,,,-0.037,0.021,-0.064,,
Long Island University,0,-1,1,1,0.220068181818181,0.16372549019607799,0.17565624999999899,0.17049999999999901,-0.056,0.012,-0.005,-0.056,,0.003,-0.056,,,,,,,0.012,-0.005
Marshall University,0,0,1,0,0.284836363636363,0.28278787878787798,0.26038181818181799,0.14928947368421,-0.002,-0.022,-0.111,,-0.057,-0.022,,,,-0.002,,-0.111,,-0.022,
Marymount University,0,0,0,1,0.26435555555555501,0.28565625,0.19693103448275801,0.20119999999999999,0.021,-0.089,0.004,,-0.034,0.004,,,,0.021,-0.089,,,,0.004
Metropolitan State University of Denver,0,1,1,0,0.240326086956521,0.24795419847328201,0.24822580645161199,0.25387500000000002,0.008,0.000,0.006,,0.006,0.004,,,,,,0.006,0.008,0.000,
Mount Vernon Nazarene University,0,1,-1,0,0.221857142857142,0.202875,0.37309090909090897,0.3125,-0.019,0.170,-0.061,0.170,-0.061,-0.019,,0.170,,,,-0.061,-0.019,,
New Jersey City University,0,0,0,0,0.307204081632653,0.25289285714285697,0.196599999999999,0.15116666666666601,-0.054,-0.056,-0.045,,-0.052,,,,,-0.054,-0.056,-0.045,,,
Ohio Dominican University,0,1,1,-1,0.21766666666666601,0.23150000000000001,0.252999999999999,0.10099999999999899,0.014,0.021,-0.152,-0.152,,0.018,,,-0.152,,,,0.014,0.021,
Portland State University,0,1,0,0,0.20296385542168599,0.21923703703703701,0.19152857142857099,0.13973684210526299,0.016,-0.028,-0.052,,-0.040,0.016,,,,,-0.028,-0.052,0.016,,
Radford University,0,0,0,1,0.35341290322580599,0.30409722222222202,0.24461904761904699,0.26192857142857101,-0.049,-0.059,0.017,,-0.054,0.017,,,,-0.049,-0.059,,,,0.017
Rhode Island College,0,0,0,0,0.25210989010988999,0.18790909090909,0.20058620689655099,0.25366666666666599,-0.064,0.013,0.053,,0.001,,,,,-0.064,0.013,0.053,,,
San Francisco State University,0,1,-1,1,0.26405464480874302,0.242735714285714,0.203022471910112,0.20928571428571399,-0.021,-0.040,0.006,-0.040,,-0.008,,-0.040,,,,,-0.021,,0.006
Schreiner University,0,0,0,1,0.26390909090908998,0.27888888888888802,0.3175,0.081000000000000003,0.015,0.039,-0.236,,0.027,-0.236,,,,0.015,0.039,,,,-0.236
Sonoma State University,0,0,0,0,0.27722727272727199,0.27875384615384602,0.191942307692307,0.20533333333333301,0.002,-0.087,0.013,,-0.024,,,,,0.002,-0.087,0.013,,,
South Dakota School of Mines and Technology,0,0,0,1,0.19611764705882301,0.23926470588235299,0.23355172413793099,0.18416666666666601,0.043,-0.006,-0.049,,0.019,-0.049,,,,0.043,-0.006,,,,-0.049
St. Thomas Aquinas College,0,-1,0,0,0.17977777777777701,0.221285714285714,0.187249999999999,,0.042,-0.034,,0.042,-0.017,,0.042,,,,-0.034,0.000,,,
Temple University,0,1,0,0,0.30358235294117603,0.30935185185185099,0.32804065040650399,0.26627586206896497,0.006,0.019,-0.062,,-0.022,0.006,,,,,0.019,-0.062,0.006,,
Texas Woman's University,0,0,0,0,0.32186666666666602,0.30238823529411701,0.236384615384615,0.1973125,-0.019,-0.066,-0.039,,-0.042,,,,,-0.019,-0.066,-0.039,,,
Thomas Edison State University,0,1,0,0,0.20453333333333301,0.18990476190476099,0.15564,0.17633333333333301,-0.015,-0.034,0.021,,-0.007,-0.015,,,,,-0.034,0.021,-0.015,,
Troy University,0,0,0,0,0.30377777777777698,0.31906976744186,0.30227027027026998,0.25827272727272699,0.015,-0.017,-0.044,,-0.015,,,,,0.015,-0.017,-0.044,,,
Union College,0,0,-1,0,0.29592857142857099,0.29906976744185998,0.24372727272727199,0.163333333333333,0.003,-0.055,-0.080,-0.055,-0.039,,,-0.055,,0.003,,-0.080,,,
University of Alaska Anchorage,0,0,0,0,0.217126315789473,0.23110714285714201,0.21962000000000001,0.185285714285714,0.014,-0.011,-0.034,,-0.011,,,,,0.014,-0.011,-0.034,,,
University of Central Arkansas,0,0,1,0,0.34008536585365801,0.27559459459459401,0.30654545454545401,0.31866666666666599,-0.064,0.031,0.012,,-0.026,0.031,,,,-0.064,,0.012,,0.031,
University of Kansas,0,0,0,0,0.312838888888888,0.31398473282442702,0.33327380952380897,0.285392857142857,0.001,0.019,-0.048,,-0.009,,,,,0.001,0.019,-0.048,,,
University of Kentucky,0,0,0,0,0.29449500000000001,0.30422641509433901,0.33323423423423398,0.34848888888888802,0.010,0.029,0.015,,0.018,,,,,0.010,0.029,0.015,,,
University of Louisiana at Lafayette,0,0,0,1,0.30913907284768199,0.280096774193548,0.2316,0.29453333333333298,-0.029,-0.048,0.063,,-0.039,0.063,,,,-0.029,-0.048,,,,0.063
University of Maine,0,0,0,1,0.292085714285714,0.30032467532467499,0.19904081632653001,0.18237500000000001,0.008,-0.101,-0.017,,-0.047,-0.017,,,,0.008,-0.101,,,,-0.017
University of Mount Union,0,0,0,1,0.28058823529411703,0.26605555555555499,0.27187499999999998,0.37819999999999998,-0.015,0.006,0.106,,-0.004,0.106,,,,-0.015,0.006,,,,0.106
University of North Carolina at Greensboro,0,0,0,0,0.295115384615384,0.291843283582089,0.26703797468354401,0.29060000000000002,-0.003,-0.025,0.024,,-0.002,,,,,-0.003,-0.025,0.024,,,
University of North Carolina Wilmington,0,0,1,0,0.339758823529411,0.33535975609756002,0.32668478260869499,0.32221212121212101,-0.004,-0.009,-0.004,,-0.004,-0.009,,,,-0.004,,-0.004,,-0.009,
University of Portland,0,0,0,0,0.39744999999999903,0.3216,0.29894999999999999,0.38400000000000001,-0.076,-0.023,0.085,,-0.004,,,,,-0.076,-0.023,0.085,,,
University of San Diego,0,0,1,0,0.394730769230769,0.30242666666666601,0.37671186440677901,0.25976923076922998,-0.092,0.074,-0.117,,-0.105,0.074,,,,-0.092,,-0.117,,0.074,
University of West Georgia,0,1,0,0,0.24306956521739101,0.24322352941176401,0.236478260869565,0.157923076923076,0.000,-0.007,-0.079,,-0.043,0.000,,,,,-0.007,-0.079,0.000,,
Virginia Commonwealth University,1,0,0,0,0.28842105263157802,0.29188829787234,0.30818390804597701,0.25609677419354798,0.003,0.016,-0.052,,-0.011,,,,,0.003,0.016,-0.052,,,
Walla Walla University,0,0,-1,0,0.47560000000000002,0.25356249999999902,0.33462499999999901,0.243666666666666,-0.222,0.081,-0.091,0.081,-0.156,,,0.081,,-0.222,,-0.091,,,
Xavier University,0,0,0,1,0.30416666666666597,0.30577272727272697,0.291333333333333,0.26674999999999999,0.002,-0.014,-0.025,,-0.006,-0.025,,,,0.002,-0.014,,,,-0.025
All Universities Average,,,,,0.278,0.265,0.256,0.223,-0.012,-0.009,-0.034,-0.039,-0.022,-0.004,,,,,,,,,
