Name,2010-2014,2015-2017,2018-2020,2021+,2010-2014,2015-2017,2018-2020,2021+
Adelphi University,0,0,0,0,,,,
Albany State University,0,0,0,0,0.685725,0.271072727,0.170142857,0.855
Alvernia University,0,0,0,1,,,,
American University,0,1,0,0,,,,
Andrews University,0,0,0,0,,,,
Appalachian State University,0,0,0,0,,,,
Arkansas State University,0,0,1,0,,,,
Arkansas Tech University,0,1,0,0,,,,
Auburn University,0,0,1,0,,,,
Auburn University at Montgomery,0,0,0,0,,,,
Bentley University,0,0,0,0,,,,
Biola University,0,0,0,0,,,,
Boise State University,0,1,1,0,,,,
Boston University,0,0,0,0,,,,
Bradley University,0,-1,1,1,,,,
Bridgewater State University,0,0,0,0,,,,
Brigham Young University,0,0,0,0,,,,
Butler University,0,1,0,0,,,,
Caldwell University,0,1,0,0,0.412644,0.548630769,0.462029167,0.88045
California University of Pennsylvania,0,0,0,0,,,,
Calvin University,0,0,1,0,,,,
Cameron University,0,0,0,-1,,,,
Capella University,0,0,0,0,,,,
Carlow University,0,1,0,0,,,,
Case Western Reserve University,0,0,0,0,,,,
Central Connecticut State University,0,0,0,0,,,,
Central Michigan University,0,1,0,0,,,,
Central Washington University,0,0,0,0,,,,
Chapman University,0,0,1,0,,,,
Clarion University of Pennsylvania,0,0,0,0,,,,
Clark University,0,-1,1,0,,,,
Clarkson University,0,-1,1,0,,,,
Clemson University,0,1,0,0,,,,
Cleveland State University,0,1,0,0,,,,
College of Charleston,0,1,0,-1,,,,
Colorado School of Mines,0,0,0,1,,,,
Columbia Southern University,0,1,1,-1,,,,
Cornell University,0,0,0,0,,,,
CUNY Queens College,0,0,0,0,,,,
CUNY York College,0,0,0,1,,,,
Dakota State University,0,1,0,1,,,,
DePaul University,0,0,1,0,,,,
DeSales University,0,0,0,1,,,,
Duke University,0,0,0,0,,,,
Duquesne University,0,1,0,0,,,,
East Carolina University,0,1,0,0,,,,
Eastern Illinois University,0,0,0,0,,,,
Eastern Michigan University,0,1,1,0,,,,
Eastern Michigan University,0,1,1,0,,,,
Eastern Washington University,0,0,0,0,,,,
Emerson College,0,0,0,0,,,,
Fairmont State University,0,1,0,0,,,,
Fayetteville State University,0,1,0,0,-0.017784211,0.38884,0.092668421,0.307266667
Ferris State University,0,0,1,0,,,,
Florida Agricultural and Mechanical University,0,1,0,0,,,,
Florida Atlantic University,0,0,0,0,,,,
Florida Gulf Coast University,0,0,0,1,,,,
Florida Institute of Technology,0,0,0,0,,,,
Florida International University,0,1,0,0,,,,
Florida State University,0,0,0,0,,,,
Fort Valley State University,0,0,1,-1,,,,
